mr,param,original,transformed,difference,percent_change,passed,range_change,range_percent_change,range_passed,severity,status,sample_id,expected_behavior,actual_behavior,epsilon
TranslationRelation,80.0,-1.6377265453338623,-1.6270992755889893,0.010627269744873047,0.6489034012496019,False,0.011214971542358398,0.6847886007847629,True,0.010627269744873047,FAIL,9,Small translation should preserve prediction consistency,Violation,0.01
TranslationRelation,80.0,-1.6377265453338623,-1.6270992755889893,0.010627269744873047,0.6489034012496019,False,0.011214971542358398,0.6847886007847629,True,0.010627269744873047,FAIL,9,Small translation should preserve prediction consistency,Violation,0.07333333333333333
TranslationRelation,80.0,-1.6377265453338623,-1.6270992755889893,0.010627269744873047,0.6489034012496019,False,0.011214971542358398,0.6847886007847629,True,0.010627269744873047,FAIL,9,Small translation should preserve prediction consistency,Violation,0.2
TranslationRelation,80.0,-1.6377265453338623,-1.6270992755889893,0.010627269744873047,0.6489034012496019,False,0.011214971542358398,0.6847886007847629,True,0.010627269744873047,FAIL,9,Small translation should preserve prediction consistency,Violation,0.1366666666666667
FogRelation,1.5,-1.6377265453338623,-1.62807297706604,0.009653568267822266,0.5894489773544304,False,0.009780406951904297,0.5971937749823029,True,0.009653568267822266,FAIL,9,Fog should not significantly affect prediction,Violation,0.01
DarkVisibiltyRelation,1.1375,-1.6377265453338623,-1.62807297706604,0.009653568267822266,0.5894489773544304,False,0.009183406829833984,0.5607408177263016,True,0.009653568267822266,FAIL,9,Output should not change drastically under degradation,Violation,0.01
FogRelation,0.75,-1.6377265453338623,-1.62807297706604,0.009653568267822266,0.5894489773544304,True,0.009780406951904297,0.5971937749823029,True,0.009653568267822266,PASS,9,Fog should not significantly affect prediction,Consistent,0.01
DarkVisibiltyRelation,1.5,-1.6377265453338623,-1.62807297706604,0.009653568267822266,0.5894489773544304,False,0.009183406829833984,0.5607408177263016,True,0.009653568267822266,FAIL,9,Output should not change drastically under degradation,Violation,0.01
FogRelation,1.125,-1.6377265453338623,-1.62807297706604,0.009653568267822266,0.5894489773544304,False,0.009780406951904297,0.5971937749823029,True,0.009653568267822266,FAIL,9,Fog should not significantly affect prediction,Violation,0.01
FogRelation,0.75,-1.6377265453338623,-1.62807297706604,0.009653568267822266,0.5894489773544304,True,0.009780406951904297,0.5971937749823029,True,0.009653568267822266,PASS,9,Fog should not significantly affect prediction,Consistent,0.2
